,O2 (Dis).O2 mg/L@La_Jara_Creek,O2 (Dis).O2 mg/L@La_Jara_Creek,O2 (Dis).O2 mg/L@La_Jara_Creek,O2 (Dis).O2 mg/L@La_Jara_Creek,O2%.O2%@La_Jara_Creek,O2%.O2%@La_Jara_Creek,O2%.O2%@La_Jara_Creek,O2%.O2%@La_Jara_Creek,PH Voltage.pH@La_Jara_Creek,PH Voltage.pH@La_Jara_Creek,PH Voltage.pH@La_Jara_Creek,PH Voltage.pH@La_Jara_Creek,pH.Ph@La_Jara_Creek,pH.Ph@La_Jara_Creek,pH.Ph@La_Jara_Creek,pH.Ph@La_Jara_Creek,Sp Cond.uS@La_Jara_Creek,Sp Cond.uS@La_Jara_Creek,Sp Cond.uS@La_Jara_Creek,Sp Cond.uS@La_Jara_Creek,Turbidity.mV@La_Jara_Creek,Turbidity.mV@La_Jara_Creek,Turbidity.mV@La_Jara_Creek,Turbidity.mV@La_Jara_Creek,Water Temp.C@La_Jara_Creek,Water Temp.C@La_Jara_Creek,Water Temp.C@La_Jara_Creek,Water Temp.C@La_Jara_Creek
08/31/2011 16:45:40,6.77,,,1,69.1,,,1,-67.9,,,1,7.26,,,1,53,,,1,-67.9,,,1,16.31,,,1
08/31/2011 17:00:40,6.8,,,1,69.3,,,1,-67.7,,,1,7.26,,,1,53,,,1,-67.7,,,1,16.27,,,1
08/31/2011 17:15:40,6.81,,,1,69.2,,,1,-67.1,,,1,7.25,,,1,53,,,1,-67.1,,,1,16.15,,,1
08/31/2011 17:30:40,6.82,,,1,69.1,,,1,-66.7,,,1,7.24,,,1,53,,,1,-66.7,,,1,15.99,,,1
08/31/2011 17:45:40,6.83,,,1,69,,,1,-66.1,,,1,7.23,,,1,53,,,1,-66.1,,,1,15.84,,,1
08/31/2011 18:00:40,6.89,,,1,69.2,,,1,-65.6,,,1,7.22,,,1,53,,,1,-65.6,,,1,15.62,,,1
08/31/2011 18:15:40,6.92,,,1,69.1,,,1,-65.2,,,1,7.22,,,1,54,,,1,-65.2,,,1,15.35,,,1
08/31/2011 18:30:40,6.95,,,1,69,,,1,-64.1,,,1,7.19,,,1,54,,,1,-64.1,,,1,15.07,,,1
08/31/2011 18:45:40,6.98,,,1,68.9,,,1,-63.7,,,1,7.19,,,1,54,,,1,-63.7,,,1,14.79,,,1
08/31/2011 19:00:40,6.99,,,1,68.7,,,1,-63.7,,,1,7.19,,,1,54,,,1,-63.7,,,1,14.58,,,1
08/31/2011 19:15:40,7.01,,,1,68.6,,,1,-63.9,,,1,7.19,,,1,55,,,1,-63.9,,,1,14.4,,,1
08/31/2011 19:30:40,7.04,,,1,68.6,,,1,-63.8,,,1,7.19,,,1,55,,,1,-63.8,,,1,14.21,,,1
08/31/2011 19:45:40,7.07,,,1,68.6,,,1,-63.1,,,1,7.18,,,1,55,,,1,-63.1,,,1,13.99,,,1
08/31/2011 20:00:40,7.12,,,1,68.8,,,1,-63.1,,,1,7.18,,,1,55,,,1,-63.1,,,1,13.77,,,1
08/31/2011 20:15:40,7.16,,,1,68.8,,,1,-62.7,,,1,7.17,,,1,55,,,1,-62.7,,,1,13.57,,,1
08/31/2011 20:30:40,7.2,,,1,69,,,1,-62.1,,,1,7.16,,,1,55,,,1,-62.1,,,1,13.43,,,1
08/31/2011 20:45:40,7.23,,,1,69.1,,,1,-62.6,,,1,7.17,,,1,55,,,1,-62.6,,,1,13.32,,,1
08/31/2011 21:00:40,7.27,,,1,69.3,,,1,-62.5,,,1,7.17,,,1,55,,,1,-62.5,,,1,13.2,,,1
08/31/2011 21:15:40,7.29,,,1,69.3,,,1,-63.3,,,1,7.18,,,1,55,,,1,-63.3,,,1,13.09,,,1
08/31/2011 21:30:40,7.31,,,1,69.3,,,1,-62.6,,,1,7.17,,,1,55,,,1,-62.6,,,1,12.97,,,1
08/31/2011 21:45:40,7.34,,,1,69.4,,,1,-62.7,,,1,7.17,,,1,55,,,1,-62.7,,,1,12.83,,,1
08/31/2011 22:00:40,7.36,,,1,69.4,,,1,-62.2,,,1,7.16,,,1,55,,,1,-62.2,,,1,12.69,,,1
08/31/2011 22:15:40,7.4,,,1,69.5,,,1,-62.6,,,1,7.17,,,1,55,,,1,-62.6,,,1,12.55,,,1
08/31/2011 22:30:40,7.43,,,1,69.6,,,1,-62.2,,,1,7.16,,,1,55,,,1,-62.2,,,1,12.4,,,1
08/31/2011 22:45:40,7.46,,,1,69.6,,,1,-62.6,,,1,7.17,,,1,55,,,1,-62.6,,,1,12.26,,,1
08/31/2011 23:00:40,7.49,,,1,69.7,,,1,-61.7,,,1,7.15,,,1,55,,,1,-61.7,,,1,12.12,,,1
08/31/2011 23:15:40,7.51,,,1,69.7,,,1,-62,,,1,7.15,,,1,55,,,1,-62,,,1,11.98,,,1
08/31/2011 23:30:40,7.54,,,1,69.7,,,1,-62,,,1,7.16,,,1,55,,,1,-62,,,1,11.85,,,1
08/31/2011 23:45:40,7.57,,,1,69.7,,,1,-62,,,1,7.16,,,1,55,,,1,-62,,,1,11.71,,,1
09/01/2011 00:00:40,7.6,,,1,69.8,,,1,-62.2,,,1,7.16,,,1,56,,,1,-62.2,,,1,11.58,,,1
09/01/2011 00:15:40,7.63,,,1,69.9,,,1,-61.7,,,1,7.15,,,1,56,,,1,-61.7,,,1,11.45,,,1
09/01/2011 00:30:40,7.65,,,1,69.9,,,1,-61.6,,,1,7.15,,,1,56,,,1,-61.6,,,1,11.32,,,1
09/01/2011 00:45:40,7.68,,,1,70,,,1,-61.7,,,1,7.15,,,1,56,,,1,-61.7,,,1,11.21,,,1
09/01/2011 01:00:40,7.71,,,1,70.1,,,1,-61.8,,,1,7.15,,,1,56,,,1,-61.8,,,1,11.1,,,1
09/01/2011 01:15:40,7.73,,,1,70.1,,,1,-61.7,,,1,7.15,,,1,56,,,1,-61.7,,,1,11.01,,,1
09/01/2011 01:30:40,7.75,,,1,70.1,,,1,-61.8,,,1,7.15,,,1,56,,,1,-61.8,,,1,10.92,,,1
09/01/2011 01:45:40,7.76,,,1,70.1,,,1,-61.6,,,1,7.15,,,1,56,,,1,-61.6,,,1,10.84,,,1
09/01/2011 02:00:40,7.78,,,1,70.2,,,1,-61.8,,,1,7.15,,,1,56,,,1,-61.8,,,1,10.77,,,1
09/01/2011 02:15:40,7.79,,,1,70.2,,,1,-62,,,1,7.16,,,1,56,,,1,-62,,,1,10.71,,,1
09/01/2011 02:30:40,7.81,,,1,70.2,,,1,-61.8,,,1,7.15,,,1,56,,,1,-61.8,,,1,10.63,,,1
09/01/2011 02:45:40,7.83,,,1,70.2,,,1,-61.4,,,1,7.15,,,1,56,,,1,-61.4,,,1,10.55,,,1
09/01/2011 03:00:40,7.85,,,1,70.3,,,1,-61.4,,,1,7.15,,,1,56,,,1,-61.4,,,1,10.46,,,1
09/01/2011 03:15:40,7.86,,,1,70.3,,,1,-61.5,,,1,7.15,,,1,56,,,1,-61.5,,,1,10.38,,,1
09/01/2011 03:30:40,7.88,,,1,70.3,,,1,-61.4,,,1,7.15,,,1,56,,,1,-61.4,,,1,10.31,,,1
09/01/2011 03:45:40,7.9,,,1,70.4,,,1,-61.4,,,1,7.15,,,1,56,,,1,-61.4,,,1,10.25,,,1
09/01/2011 04:00:40,7.91,,,1,70.4,,,1,-61.5,,,1,7.15,,,1,56,,,1,-61.5,,,1,10.2,,,1
09/01/2011 04:15:40,7.92,,,1,70.4,,,1,-61.3,,,1,7.14,,,1,55,,,1,-61.3,,,1,10.16,,,1
09/01/2011 04:30:40,7.93,,,1,70.4,,,1,-61.6,,,1,7.15,,,1,55,,,1,-61.6,,,1,10.11,,,1
09/01/2011 04:45:40,7.94,,,1,70.4,,,1,-61.2,,,1,7.14,,,1,55,,,1,-61.2,,,1,10.04,,,1
09/01/2011 05:00:40,7.96,,,1,70.5,,,1,-60.7,,,1,7.13,,,1,55,,,1,-60.7,,,1,9.97,,,1
09/01/2011 05:15:40,7.97,,,1,70.5,,,1,-61,,,1,7.14,,,1,55,,,1,-61,,,1,9.91,,,1
09/01/2011 05:30:40,7.99,,,1,70.5,,,1,-60.8,,,1,7.13,,,1,55,,,1,-60.8,,,1,9.85,,,1
09/01/2011 05:45:40,8,,,1,70.5,,,1,-60.9,,,1,7.14,,,1,55,,,1,-60.9,,,1,9.8,,,1
09/01/2011 06:00:40,8.01,,,1,70.5,,,1,-61.3,,,1,7.14,,,1,55,,,1,-61.3,,,1,9.76,,,1
09/01/2011 06:15:40,8.01,,,1,70.6,,,1,-61,,,1,7.14,,,1,55,,,1,-61,,,1,9.74,,,1
09/01/2011 06:30:40,8.02,,,1,70.6,,,1,-61.2,,,1,7.14,,,1,55,,,1,-61.2,,,1,9.74,,,1
09/01/2011 06:45:40,8.03,,,1,70.7,,,1,-60.8,,,1,7.13,,,1,55,,,1,-60.8,,,1,9.73,,,1
09/01/2011 07:00:40,8.05,,,1,70.8,,,1,-60.7,,,1,7.13,,,1,55,,,1,-60.7,,,1,9.69,,,1
09/01/2011 07:15:40,8.08,,,1,71,,,1,-60.7,,,1,7.13,,,1,55,,,1,-60.7,,,1,9.67,,,1
09/01/2011 07:30:40,8.09,,,1,71.2,,,1,-60.5,,,1,7.13,,,1,55,,,1,-60.5,,,1,9.67,,,1
09/01/2011 07:45:40,8.16,,,1,71.8,,,1,-61.2,,,1,7.14,,,1,54,,,1,-61.2,,,1,9.69,,,1
09/01/2011 08:00:40,8.2,,,1,72.2,,,1,-62.2,,,1,7.16,,,1,54,,,1,-62.2,,,1,9.76,,,1
09/01/2011 08:15:40,8.19,,,1,72.3,,,1,-63.2,,,1,7.18,,,1,54,,,1,-63.2,,,1,9.86,,,1
09/01/2011 08:30:40,8.13,,,1,71.9,,,1,-64.1,,,1,7.2,,,1,54,,,1,-64.1,,,1,9.94,,,1
09/01/2011 08:45:40,8.13,,,1,72.1,,,1,-63.7,,,1,7.19,,,1,54,,,1,-63.7,,,1,10.01,,,1
09/01/2011 09:00:40,8.16,,,1,72.4,,,1,-63.2,,,1,7.18,,,1,55,,,1,-63.2,,,1,10.07,,,1
09/01/2011 09:15:40,8.17,,,1,72.7,,,1,-64.6,,,1,7.21,,,1,54,,,1,-64.6,,,1,10.21,,,1
09/01/2011 09:30:40,8.15,,,1,72.9,,,1,-65.1,,,1,7.22,,,1,54,,,1,-65.1,,,1,10.4,,,1
09/01/2011 09:45:40,8.09,,,1,72.7,,,1,-65.5,,,1,7.22,,,1,54,,,1,-65.5,,,1,10.61,,,1
09/01/2011 10:00:40,8.07,,,1,73,,,1,-66.2,,,1,7.24,,,1,54,,,1,-66.2,,,1,10.93,,,1
09/01/2011 10:15:40,8.04,,,1,73.7,,,1,-67.3,,,1,7.26,,,1,53,,,1,-67.3,,,1,11.46,,,1
09/01/2011 10:30:40,7.91,,,1,73.6,,,1,-68.1,,,1,7.27,,,1,53,,,1,-68.1,,,1,12.12,,,1
09/01/2011 10:45:40,7.77,,,1,73.8,,,1,-69.3,,,1,7.29,,,1,53,,,1,-69.3,,,1,12.99,,,1
09/01/2011 11:00:40,7.59,,,1,73.6,,,1,-70.1,,,1,7.31,,,1,53,,,1,-70.1,,,1,13.98,,,1
09/01/2011 11:15:40,7.44,,,1,73.6,,,1,-71.4,,,1,7.33,,,1,53,,,1,-71.4,,,1,14.91,,,1
09/01/2011 11:30:40,7.27,,,1,72.7,,,1,-71.5,,,1,7.33,,,1,53,,,1,-71.5,,,1,15.42,,,1
09/01/2011 11:45:40,7.21,,,1,72.9,,,1,-72.1,,,1,7.34,,,1,54,,,1,-72.1,,,1,15.89,,,1
09/01/2011 12:00:40,7.07,,,1,72.4,,,1,-72.3,,,1,7.35,,,1,54,,,1,-72.3,,,1,16.47,,,1
09/01/2011 12:15:40,6.96,,,1,71.7,,,1,-70.9,,,1,7.32,,,1,54,,,1,-70.9,,,1,16.81,,,1
09/01/2011 12:30:40,6.97,,,1,71.6,,,1,-68.1,,,1,7.27,,,1,54,,,1,-68.1,,,1,16.69,,,1
09/01/2011 12:45:40,7,,,1,71.7,,,1,-66.7,,,1,7.24,,,1,54,,,1,-66.7,,,1,16.47,,,1
09/01/2011 13:00:40,6.97,,,1,71.1,,,1,-66,,,1,7.23,,,1,54,,,1,-66,,,1,16.3,,,1
09/01/2011 13:15:40,7.04,,,1,71.8,,,1,-64.4,,,1,7.2,,,1,54,,,1,-64.4,,,1,16.28,,,1
09/01/2011 13:30:40,7.01,,,1,72,,,1,-68.1,,,1,7.27,,,1,54,,,1,-68.1,,,1,16.61,,,1
09/01/2011 13:45:40,6.99,,,1,72.1,,,1,-66.5,,,1,7.24,,,1,55,,,1,-66.5,,,1,16.87,,,1
09/01/2011 14:00:40,6.97,,,1,72.1,,,1,-66.7,,,1,7.24,,,1,55,,,1,-66.7,,,1,17.01,,,1
09/01/2011 14:15:40,6.94,,,1,71.8,,,1,-65.6,,,1,7.22,,,1,55,,,1,-65.6,,,1,17.05,,,1
09/01/2011 14:30:40,6.9,,,1,71.6,,,1,-65.8,,,1,7.22,,,1,55,,,1,-65.8,,,1,17.1,,,1
09/01/2011 14:45:40,6.77,,,1,70.3,,,1,-66.5,,,1,7.24,,,1,55,,,1,-66.5,,,1,17.15,,,1
09/01/2011 15:00:40,6.86,,,1,70.9,,,1,-63.8,,,1,7.19,,,1,56,,,1,-63.8,,,1,16.92,,,1
09/01/2011 15:15:40,6.89,,,1,71.1,,,1,-64.3,,,1,7.2,,,1,56,,,1,-64.3,,,1,16.91,,,1
09/01/2011 15:30:40,6.85,,,1,70.7,,,1,-64.5,,,1,7.2,,,1,56,,,1,-64.5,,,1,16.88,,,1
09/01/2011 15:45:40,6.84,,,1,70.4,,,1,-63.5,,,1,7.18,,,1,56,,,1,-63.5,,,1,16.81,,,1
09/01/2011 16:00:40,6.85,,,1,70.4,,,1,-62.1,,,1,7.16,,,1,56,,,1,-62.1,,,1,16.66,,,1
09/01/2011 16:15:40,6.83,,,1,69.9,,,1,-61.8,,,1,7.15,,,1,56,,,1,-61.8,,,1,16.47,,,1
09/01/2011 16:30:40,6.86,,,1,70.1,,,1,-62.6,,,1,7.17,,,1,56,,,1,-62.6,,,1,16.39,,,1
09/01/2011 16:45:40,6.86,,,1,70.1,,,1,-62,,,1,7.15,,,1,56,,,1,-62,,,1,16.35,,,1
09/01/2011 17:00:40,6.87,,,1,70,,,1,-61.7,,,1,7.15,,,1,56,,,1,-61.7,,,1,16.3,,,1
09/01/2011 17:15:40,6.84,,,1,69.6,,,1,-60.6,,,1,7.13,,,1,56,,,1,-60.6,,,1,16.18,,,1
09/01/2011 17:30:40,6.8,,,1,69,,,1,-60.2,,,1,7.12,,,1,56,,,1,-60.2,,,1,16.03,,,1
09/01/2011 17:45:40,6.81,,,1,68.8,,,1,-59.4,,,1,7.11,,,1,56,,,1,-59.4,,,1,15.85,,,1
09/01/2011 18:00:40,6.83,,,1,68.7,,,1,-59.1,,,1,7.1,,,1,56,,,1,-59.1,,,1,15.67,,,1
09/01/2011 18:15:40,6.86,,,1,68.7,,,1,-58.9,,,1,7.1,,,1,56,,,1,-58.9,,,1,15.47,,,1
09/01/2011 18:30:40,6.91,,,1,68.9,,,1,-58,,,1,7.08,,,1,56,,,1,-58,,,1,15.25,,,1
09/01/2011 18:45:40,6.95,,,1,69,,,1,-58.4,,,1,7.09,,,1,56,,,1,-58.4,,,1,15.03,,,1
09/01/2011 19:00:40,6.97,,,1,68.9,,,1,-58.6,,,1,7.09,,,1,56,,,1,-58.6,,,1,14.81,,,1
09/01/2011 19:15:40,6.99,,,1,68.6,,,1,-58.8,,,1,7.1,,,1,56,,,1,-58.8,,,1,14.57,,,1
09/01/2011 19:30:40,7.02,,,1,68.6,,,1,-58.3,,,1,7.09,,,1,56,,,1,-58.3,,,1,14.34,,,1
09/01/2011 19:45:40,7.06,,,1,68.7,,,1,-57.8,,,1,7.08,,,1,56,,,1,-57.8,,,1,14.14,,,1
09/01/2011 20:00:40,7.09,,,1,68.8,,,1,-58.2,,,1,7.08,,,1,56,,,1,-58.2,,,1,13.97,,,1
09/01/2011 20:15:40,7.13,,,1,68.9,,,1,-57.9,,,1,7.08,,,1,56,,,1,-57.9,,,1,13.79,,,1
09/01/2011 20:30:40,7.17,,,1,69,,,1,-59.3,,,1,7.11,,,1,56,,,1,-59.3,,,1,13.62,,,1
09/01/2011 20:45:40,7.21,,,1,69.1,,,1,-59.6,,,1,7.11,,,1,56,,,1,-59.6,,,1,13.46,,,1
09/01/2011 21:00:40,7.25,,,1,69.2,,,1,-59.7,,,1,7.11,,,1,56,,,1,-59.7,,,1,13.31,,,1
09/01/2011 21:15:40,7.28,,,1,69.3,,,1,-59.4,,,1,7.11,,,1,56,,,1,-59.4,,,1,13.17,,,1
09/01/2011 21:30:40,7.31,,,1,69.4,,,1,-59.3,,,1,7.11,,,1,56,,,1,-59.3,,,1,13.05,,,1
09/01/2011 21:45:40,7.34,,,1,69.5,,,1,-59.8,,,1,7.11,,,1,56,,,1,-59.8,,,1,12.94,,,1
09/01/2011 22:00:40,7.34,,,1,69.4,,,1,-59,,,1,7.1,,,1,56,,,1,-59,,,1,12.84,,,1
09/01/2011 22:15:40,7.37,,,1,69.5,,,1,-60.1,,,1,7.12,,,1,56,,,1,-60.1,,,1,12.74,,,1
09/01/2011 22:30:40,7.38,,,1,69.5,,,1,-60.4,,,1,7.12,,,1,56,,,1,-60.4,,,1,12.64,,,1
09/01/2011 22:45:40,7.4,,,1,69.5,,,1,-59.9,,,1,7.12,,,1,56,,,1,-59.9,,,1,12.54,,,1
09/01/2011 23:00:40,7.42,,,1,69.6,,,1,-59.9,,,1,7.12,,,1,56,,,1,-59.9,,,1,12.45,,,1
09/01/2011 23:15:40,7.44,,,1,69.6,,,1,-59.7,,,1,7.11,,,1,56,,,1,-59.7,,,1,12.37,,,1
09/01/2011 23:30:40,7.45,,,1,69.6,,,1,-59.1,,,1,7.1,,,1,56,,,1,-59.1,,,1,12.29,,,1
09/01/2011 23:45:40,7.47,,,1,69.7,,,1,-59.3,,,1,7.1,,,1,56,,,1,-59.3,,,1,12.22,,,1
09/02/2011 00:00:40,7.49,,,1,69.7,,,1,-58,,,1,7.08,,,1,56,,,1,-58,,,1,12.13,,,1
09/02/2011 00:15:40,7.52,,,1,69.8,,,1,-57.3,,,1,7.07,,,1,55,,,1,-57.3,,,1,12.02,,,1
09/02/2011 00:30:40,7.54,,,1,69.8,,,1,-58.1,,,1,7.08,,,1,55,,,1,-58.1,,,1,11.9,,,1
09/02/2011 00:45:40,7.57,,,1,69.9,,,1,-57.7,,,1,7.07,,,1,54,,,1,-57.7,,,1,11.78,,,1
09/02/2011 01:00:40,7.59,,,1,69.9,,,1,-56.7,,,1,7.06,,,1,54,,,1,-56.7,,,1,11.65,,,1
09/02/2011 01:15:40,7.62,,,1,69.9,,,1,-56.8,,,1,7.06,,,1,54,,,1,-56.8,,,1,11.53,,,1
09/02/2011 01:30:40,7.64,,,1,70,,,1,-56.6,,,1,7.05,,,1,53,,,1,-56.6,,,1,11.42,,,1
09/02/2011 01:45:40,7.66,,,1,70,,,1,-57.5,,,1,7.07,,,1,53,,,1,-57.5,,,1,11.32,,,1
09/02/2011 02:00:40,7.68,,,1,70,,,1,-57.1,,,1,7.06,,,1,53,,,1,-57.1,,,1,11.24,,,1
09/02/2011 02:15:40,7.7,,,1,70.1,,,1,-57.3,,,1,7.07,,,1,52,,,1,-57.3,,,1,11.15,,,1
09/02/2011 02:30:40,7.72,,,1,70.1,,,1,-56.8,,,1,7.06,,,1,52,,,1,-56.8,,,1,11.07,,,1
09/02/2011 02:45:40,7.74,,,1,70.1,,,1,-56.1,,,1,7.04,,,1,52,,,1,-56.1,,,1,10.98,,,1
09/02/2011 03:00:40,7.75,,,1,70.1,,,1,-56.2,,,1,7.05,,,1,52,,,1,-56.2,,,1,10.88,,,1
09/02/2011 03:15:40,7.77,,,1,70.1,,,1,-56.5,,,1,7.05,,,1,52,,,1,-56.5,,,1,10.79,,,1
09/02/2011 03:30:40,7.79,,,1,70.2,,,1,-55.8,,,1,7.04,,,1,52,,,1,-55.8,,,1,10.71,,,1
09/02/2011 03:45:40,7.81,,,1,70.2,,,1,-56,,,1,7.04,,,1,51,,,1,-56,,,1,10.65,,,1
09/02/2011 04:00:40,7.82,,,1,70.3,,,1,-56.5,,,1,7.05,,,1,51,,,1,-56.5,,,1,10.6,,,1
09/02/2011 04:15:40,7.83,,,1,70.3,,,1,-56.8,,,1,7.06,,,1,51,,,1,-56.8,,,1,10.57,,,1
09/02/2011 04:30:40,7.84,,,1,70.3,,,1,-56.3,,,1,7.05,,,1,51,,,1,-56.3,,,1,10.54,,,1
09/02/2011 04:45:40,7.84,,,1,70.3,,,1,-56.2,,,1,7.05,,,1,51,,,1,-56.2,,,1,10.5,,,1
09/02/2011 05:00:40,7.85,,,1,70.3,,,1,-56,,,1,7.04,,,1,51,,,1,-56,,,1,10.43,,,1
09/02/2011 05:15:40,7.87,,,1,70.3,,,1,-55.7,,,1,7.04,,,1,51,,,1,-55.7,,,1,10.35,,,1
09/02/2011 05:30:40,7.89,,,1,70.4,,,1,-54.9,,,1,7.02,,,1,51,,,1,-54.9,,,1,10.27,,,1
09/02/2011 05:45:40,7.91,,,1,70.4,,,1,-55.5,,,1,7.03,,,1,51,,,1,-55.5,,,1,10.19,,,1
09/02/2011 06:00:40,7.93,,,1,70.4,,,1,-55.6,,,1,7.04,,,1,51,,,1,-55.6,,,1,10.1,,,1
09/02/2011 06:15:40,7.95,,,1,70.5,,,1,-55.1,,,1,7.03,,,1,51,,,1,-55.1,,,1,10.02,,,1
09/02/2011 06:30:40,7.97,,,1,70.5,,,1,-55.2,,,1,7.03,,,1,51,,,1,-55.2,,,1,9.94,,,1
09/02/2011 06:45:40,8,,,1,70.6,,,1,-54.8,,,1,7.02,,,1,51,,,1,-54.8,,,1,9.86,,,1
09/02/2011 07:00:40,8.03,,,1,70.8,,,1,-55.3,,,1,7.03,,,1,51,,,1,-55.3,,,1,9.78,,,1
09/02/2011 07:15:40,8.06,,,1,71,,,1,-55.4,,,1,7.03,,,1,51,,,1,-55.4,,,1,9.72,,,1
09/02/2011 07:30:40,8.09,,,1,71.1,,,1,-56,,,1,7.04,,,1,51,,,1,-56,,,1,9.68,,,1
09/02/2011 07:45:40,8.11,,,1,71.3,,,1,-56.9,,,1,7.06,,,1,51,,,1,-56.9,,,1,9.65,,,1
09/02/2011 08:00:40,8.13,,,1,71.5,,,1,-57.2,,,1,7.07,,,1,51,,,1,-57.2,,,1,9.66,,,1
09/02/2011 08:15:40,8.14,,,1,71.6,,,1,-56.9,,,1,7.06,,,1,51,,,1,-56.9,,,1,9.69,,,1
09/02/2011 08:30:40,8.15,,,1,71.8,,,1,-57.1,,,1,7.06,,,1,51,,,1,-57.1,,,1,9.77,,,1
09/02/2011 08:45:40,8.09,,,1,71.6,,,1,-58.2,,,1,7.09,,,1,51,,,1,-58.2,,,1,9.91,,,1
09/02/2011 09:00:40,8.11,,,1,71.9,,,1,-58.9,,,1,7.1,,,1,51,,,1,-58.9,,,1,9.99,,,1
09/02/2011 09:15:40,8.08,,,1,71.7,,,1,-59.3,,,1,7.11,,,1,51,,,1,-59.3,,,1,10.05,,,1
09/02/2011 09:30:40,8.09,,,1,72,,,1,-59.8,,,1,7.11,,,1,51,,,1,-59.8,,,1,10.18,,,1
09/02/2011 09:45:40,8.09,,,1,72.3,,,1,-59.4,,,1,7.11,,,1,51,,,1,-59.4,,,1,10.37,,,1
09/02/2011 10:00:40,8.08,,,1,72.7,,,1,-60.9,,,1,7.14,,,1,51,,,1,-60.9,,,1,10.69,,,1
09/02/2011 10:15:40,8.03,,,1,73.3,,,1,-62.3,,,1,7.16,,,1,50,,,1,-62.3,,,1,11.26,,,1
09/02/2011 10:30:40,7.91,,,1,73.3,,,1,-63,,,1,7.18,,,1,50,,,1,-63,,,1,11.93,,,1
09/02/2011 10:45:40,7.76,,,1,73.3,,,1,-63.4,,,1,7.18,,,1,50,,,1,-63.4,,,1,12.8,,,1
09/02/2011 11:00:40,7.58,,,1,73.2,,,1,-63.7,,,1,7.19,,,1,50,,,1,-63.7,,,1,13.74,,,1
09/02/2011 11:15:40,7.39,,,1,72.7,,,1,-64.5,,,1,7.2,,,1,50,,,1,-64.5,,,1,14.63,,,1
09/02/2011 11:30:40,7.23,,,1,72.1,,,1,-64.8,,,1,7.21,,,1,50,,,1,-64.8,,,1,15.29,,,1
09/02/2011 11:45:40,7.13,,,1,71.7,,,1,-63.5,,,1,7.18,,,1,51,,,1,-63.5,,,1,15.64,,,1
09/02/2011 12:00:40,7.02,,,1,71.1,,,1,-62.4,,,1,7.16,,,1,51,,,1,-62.4,,,1,15.97,,,1
09/02/2011 12:15:40,7.1,,,1,71.9,,,1,-60.1,,,1,7.12,,,1,51,,,1,-60.1,,,1,15.94,,,1
09/02/2011 12:30:40,7.11,,,1,71.7,,,1,-60.1,,,1,7.12,,,1,51,,,1,-60.1,,,1,15.78,,,1
09/02/2011 12:45:40,7.11,,,1,71.3,,,1,-58.6,,,1,7.09,,,1,51,,,1,-58.6,,,1,15.55,,,1
09/02/2011 13:00:40,7.15,,,1,71.5,,,1,-58.2,,,1,7.08,,,1,51,,,1,-58.2,,,1,15.33,,,1
09/02/2011 13:15:40,7.19,,,1,71.6,,,1,-58.2,,,1,7.08,,,1,51,,,1,-58.2,,,1,15.23,,,1
09/02/2011 13:30:40,7.03,,,1,69.9,,,1,-58.4,,,1,7.09,,,1,51,,,1,-58.4,,,1,15.11,,,1
09/02/2011 13:45:40,7,,,1,69.2,,,1,-55,,,1,7.02,,,1,51,,,1,-55,,,1,14.88,,,1
09/02/2011 14:00:40,7.14,,,1,70.3,,,1,-54.1,,,1,7.01,,,1,51,,,1,-54.1,,,1,14.66,,,1
09/02/2011 14:15:40,7.28,,,1,71.4,,,1,-55.8,,,1,7.04,,,1,51,,,1,-55.8,,,1,14.51,,,1
09/02/2011 14:30:40,7.4,,,1,72.7,,,1,-58,,,1,7.08,,,1,51,,,1,-58,,,1,14.55,,,1
09/02/2011 14:45:40,7.27,,,1,71.4,,,1,-58.7,,,1,7.09,,,1,51,,,1,-58.7,,,1,14.61,,,1
09/02/2011 15:00:40,7.22,,,1,70.9,,,1,-59.3,,,1,7.1,,,1,51,,,1,-59.3,,,1,14.52,,,1
09/02/2011 15:15:40,7.23,,,1,70.8,,,1,-59.7,,,1,7.11,,,1,51,,,1,-59.7,,,1,14.41,,,1
09/02/2011 15:30:40,7.34,,,1,71.9,,,1,-60.5,,,1,7.13,,,1,50,,,1,-60.5,,,1,14.45,,,1
09/02/2011 15:45:40,7.27,,,1,71.5,,,1,-62.6,,,1,7.17,,,1,50,,,1,-62.6,,,1,14.6,,,1
09/02/2011 16:00:40,7.2,,,1,70.7,,,1,-62.3,,,1,7.16,,,1,50,,,1,-62.3,,,1,14.56,,,1
09/02/2011 16:15:40,7.18,,,1,70.3,,,1,-62,,,1,7.15,,,1,51,,,1,-62,,,1,14.46,,,1
09/02/2011 16:30:40,7.16,,,1,70.1,,,1,-61.7,,,1,7.15,,,1,51,,,1,-61.7,,,1,14.39,,,1
09/02/2011 16:45:40,7.17,,,1,70.1,,,1,-61.5,,,1,7.15,,,1,51,,,1,-61.5,,,1,14.33,,,1
09/02/2011 17:00:40,7.15,,,1,69.9,,,1,-60.5,,,1,7.13,,,1,51,,,1,-60.5,,,1,14.29,,,1
09/02/2011 17:15:40,7.14,,,1,69.7,,,1,-59.4,,,1,7.11,,,1,51,,,1,-59.4,,,1,14.23,,,1
09/02/2011 17:30:40,7.14,,,1,69.5,,,1,-59.4,,,1,7.11,,,1,51,,,1,-59.4,,,1,14.11,,,1
